Intuition_Encoded,Age,Income,Employment_Status,High_Expectation,Industry_Experience,Highest_Degree_Ordinal,Hours_Learning_Weekly,Months_Programming,Money_Spent,Count_Learning_Methods,Count_Online_Resources,In-person Events,Listen_Podcasts,Youtube_Channels,Months_Finding_New_Job,Laid_Off_Potential,Replacable_Job_Potential,Study_Field_Computer-related,Study_Field_Not applicable,Study_Field_Other Science & Engineering,Study_Field_Others,Field_Working_Education,Field_Working_Others,Field_Working_Self-employed,Field_Working_Software development and IT,Field_Working_unemployed,Job_Status_Expecation(Objective2),Job_Status_Income(Objective1)
3.0,35.0,2.0,1.0,1.0,1.0,4.0,2.0,24.0,5000.0,3.0,4.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,27.0,2.0,1.0,1.0,1.0,4.0,10.0,50.0,200.0,3.0,5.0,0.0,1.0,6.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,24.0,2.0,1.0,1.0,1.0,6.0,5.0,36.0,10500.0,3.0,3.0,1.0,1.0,9.0,5.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,44.0,2.0,1.0,1.0,1.0,3.0,8.0,24.0,0.0,2.0,7.0,1.0,1.0,2.0,3.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,21.0,2.0,1.0,1.0,1.0,4.0,42.0,120.0,100.0,2.0,6.0,0.0,0.0,3.0,24.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,29.0,2.0,1.0,1.0,1.0,4.0,10.0,50.0,100.0,3.0,6.0,0.0,1.0,2.0,3.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,46.0,2.0,1.0,1.0,1.0,0.0,6.0,96.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,25.0,2.0,1.0,1.0,1.0,4.0,5.0,14.0,0.0,2.0,6.0,0.0,0.0,5.0,5.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,23.0,2.0,1.0,1.0,1.0,4.0,30.0,0.0,3000.0,6.0,5.0,1.0,1.0,15.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,31.0,2.0,1.0,1.0,1.0,6.0,7.0,0.0,1000.0,2.0,9.0,0.0,0.0,6.0,24.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,1.0,4.0,1.0,40.0,10000.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,45.0,2.0,1.0,0.0,0.0,6.0,7.0,24.0,500.0,2.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3.0,35.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,400.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,31.0,2.0,1.0,1.0,1.0,4.0,40.0,24.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,33.0,2.0,1.0,1.0,0.0,4.0,20.0,24.0,40.0,3.0,2.0,0.0,1.0,3.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,36.0,2.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,8.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,41.0,2.0,1.0,0.0,1.0,4.0,7.0,230.0,500.0,2.0,5.0,0.0,0.0,4.0,5.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,33.0,2.0,1.0,1.0,0.0,0.0,40.0,18.0,7500.0,4.0,6.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,35.0,2.0,1.0,1.0,0.0,6.0,30.0,6.0,1000.0,3.0,7.0,0.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,20.0,2.0,1.0,1.0,0.0,6.0,45.0,10.0,0.0,3.0,4.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,32.0,2.0,1.0,1.0,1.0,4.0,40.0,40.0,200.0,1.0,9.0,0.0,1.0,3.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,29.0,2.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,4.0,2.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,1.0,4.0,2.0,50.0,800.0,3.0,6.0,1.0,1.0,6.0,6.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,1.0,4.0,5.0,10.0,250.0,2.0,4.0,0.0,1.0,2.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,0.0,4.0,10.0,13.0,10000.0,4.0,9.0,0.0,1.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,38.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,6.0,1.0,0.0,3.0,6.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,25.0,2.0,1.0,1.0,0.0,6.0,3.0,14.0,200.0,4.0,5.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,28.0,2.0,1.0,1.0,1.0,3.0,2.0,24.0,200.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,21.0,2.0,1.0,1.0,0.0,4.0,8.0,3.0,100.0,3.0,6.0,0.0,0.0,1.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,37.0,2.0,1.0,1.0,0.0,6.0,10.0,12.0,50.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,42.0,2.0,1.0,1.0,0.0,4.0,10.0,26.0,50.0,2.0,9.0,1.0,1.0,5.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,33.0,2.0,1.0,1.0,0.0,0.0,10.0,12.0,15000.0,3.0,7.0,0.0,0.0,7.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,45.0,2.0,1.0,1.0,1.0,3.0,10.0,240.0,1200.0,2.0,5.0,0.0,0.0,2.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,27.0,2.0,1.0,1.0,1.0,4.0,40.0,26.0,2000.0,3.0,8.0,0.0,0.0,7.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,34.0,2.0,1.0,1.0,0.0,2.0,25.0,12.0,100.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
